dimension,mesh_mode,viscosity_mode,n,stokes_dofs,method,n_samples,setup_s_mean,setup_s_ci95_half,solve_s_mean,solve_s_ci95_half,total_s_mean,total_s_ci95_half,method_peak_rss_mib_mean,method_peak_rss_mib_ci95_half,method_peak_rss_delta_mib_mean,velocity_krylov_mean,max_residual_mean,max_error_vs_direct_mean,failure_rate,unavailable_rate,numerical_failure_rate
2,structured,temperature_dependent,16,867,hypre_boomeramg_fresh,15,0.011379973093668621,0.000790666230099387,2.1078697321729982,0.12104870664109453,2.119249705266667,0.12124987715838156,175.97916666666666,0.49172715520756194,3.4614583333333333,138.33333333333334,7.226203807514848e-08,2.5611739936174663e-07,0.0,0.0,0.0
2,structured,temperature_dependent,16,867,petsc_gamg_fresh,15,0.011758645375569662,0.0006170936469707839,2.1645073127577636,0.15536664505025724,2.1762659581333335,0.1559834268360523,176.09479166666665,0.33662247755298635,3.1125000000000003,340.0,1.7649936937760918e-07,2.0694743037674904e-07,0.0,0.0,0.0
2,structured,temperature_dependent,16,867,pyamg_fresh,15,0.03960461616516114,0.001229940412910104,2.165411233834839,0.15824507490569886,2.20501585,0.15710957223550015,182.2458333333333,0.057221450755419526,5.688541666666666,215.0,8.714105009316413e-08,1.6499022439706153e-07,0.0,0.0,0.0
2,structured,temperature_dependent,32,3267,hypre_boomeramg_fresh,15,0.059213590621948246,0.0047359871864993035,30.24207798444472,2.466353940696976,30.301291575066667,2.470916756633628,202.31979166666667,0.6434496868789372,8.930208333333333,270.0,6.369345307130175e-08,3.1238353037009124e-07,0.0,0.0,0.0
2,structured,temperature_dependent,32,3267,petsc_gamg_fresh,15,0.05589787165323893,0.009150480012322826,30.808532583746757,5.453580384277679,30.8644304554,5.462718916882534,201.11666666666667,0.7943011719972544,7.430208333333333,728.3333333333334,7.528124317746184e-08,1.949222194106749e-07,0.0,0.0,0.0
2,structured,temperature_dependent,32,3267,pyamg_fresh,15,0.11580316225687663,0.028179714881011005,31.567692760076454,6.12737106294644,31.683495922333332,6.15548751606429,204.72708333333333,5.599674176490888,10.039583333333333,408.40000000000003,6.287194571670076e-08,2.7707876773781267e-07,0.0,0.0,0.0
3,structured,temperature_dependent,4,500,hypre_boomeramg_fresh,15,0.01390223503112793,0.0012497513225441783,1.155749195568872,0.10379264691770836,1.1696514305999999,0.10504226866663038,174.12395833333335,0.10987586275856842,2.819791666666667,40.0,1.3631940988007564e-07,4.877703756518444e-07,0.0,0.0,0.0
3,structured,temperature_dependent,4,500,petsc_gamg_fresh,15,0.017013820012410485,0.0010082113748507108,1.1519523689875895,0.04508355529938942,1.168966189,0.046069217717013014,174.509375,0.027989643421644138,2.8072916666666665,85.0,3.039723105835813e-07,7.346644375958808e-07,0.0,0.0,0.0
3,structured,temperature_dependent,4,500,pyamg_fresh,15,0.037208620707194016,0.004818418678309113,1.1725304154261391,0.06343781230254182,1.2097390361333333,0.06573786853651956,179.90937499999998,0.2977364637854557,4.429166666666666,60.0,1.6477340689408097e-07,4.77989496735579e-07,0.0,0.0,0.0
3,structured,temperature_dependent,6,1372,hypre_boomeramg_fresh,15,0.08132462501525879,0.009118769275693626,7.8694755944514085,1.132984747522813,7.950800219466667,1.1420817342036123,191.68020833333333,0.07658725216106368,8.401041666666666,51.666666666666664,2.1024254038830863e-07,9.80761583812265e-07,0.0,0.0,0.0
3,structured,temperature_dependent,6,1372,petsc_gamg_fresh,15,0.07923768361409506,0.01643198853654541,7.993195496985905,1.3722087063268629,8.0724331806,1.3871690660605602,191.42499999999998,0.8742865681149281,7.685416666666666,135.0,2.404425705017052e-07,9.352182086281055e-07,0.0,0.0,0.0
3,structured,temperature_dependent,6,1372,pyamg_fresh,15,0.0995610237121582,0.011488614531476935,7.843314754021175,1.0035208350202065,7.9428757777333345,1.0149728012247945,196.2052083333333,0.29400230496025764,9.452083333333333,103.33333333333333,1.980209244247859e-07,8.934135458674073e-07,0.0,0.0,0.0
3,structured,temperature_dependent,8,2916,hypre_boomeramg_fresh,15,0.33003849983215333,0.04463298059228475,31.26470603630118,5.415544988746663,31.594744536133337,5.457616429654567,234.03437500000004,3.092424471026633,24.006249999999998,65.0,7.306561064077431e-08,2.894105683930708e-07,0.0,0.0,0.0
3,structured,temperature_dependent,8,2916,petsc_gamg_fresh,15,0.2889588514963786,0.05512183277042586,29.73725292617029,6.3069693659923844,30.026211777666663,6.34859130209533,230.6229166666667,4.717807688961976,18.333333333333332,165.0,1.2826850850376928e-07,2.7863568550833023e-07,0.0,0.0,0.0
3,structured,temperature_dependent,8,2916,pyamg_fresh,15,0.2804211616516113,0.08096765767564977,29.04953251874839,7.965196731872853,29.3299536804,8.045605469294998,232.82500000000002,5.544890030887285,19.822916666666668,135.0,3.8372042322740525e-08,2.617146214097626e-07,0.0,0.0,0.0
