benchmark,dimension,mesh_mode,viscosity_mode,n,n_steps,method,backend,hierarchy_policy,schur_velocity_inverse,schur_velocity_vcycles,metric,metric_mean_s,metric_ci95_half_s,paired_vs_method,paired_difference_mean_s,paired_difference_ci95_half_s,paired_ratio_mean,paired_ratio_ci95_half,paired_seed_count,quality_accept_rate,physics_equivalence_rate,failure_rate
scaling,2,structured,temperature_dependent,16,,hypre_boomeramg_fresh,hypre_boomeramg,fresh,lu,2,total_time_s,2.1373875972666667,0.6614447314335634,hypre_boomeramg_fresh,0.0,0.0,1.0,0.0,3,1.0,,0.0
scaling,2,structured,temperature_dependent,16,,petsc_gamg_fresh,petsc_gamg,fresh,lu,2,total_time_s,2.1419016028000004,0.4474389797079912,hypre_boomeramg_fresh,0.004514005533333583,0.21401446737798574,1.0136368024503588,0.059779492406030116,3,1.0,,0.0
scaling,2,structured,temperature_dependent,16,,pyamg_fresh,pyamg,fresh,lu,2,total_time_s,2.185785114,0.47884583386287394,hypre_boomeramg_fresh,0.04839751673333354,0.18471131539433797,1.029657689363968,0.0721625321560323,3,1.0,,0.0
scaling,2,structured,temperature_dependent,32,,hypre_boomeramg_fresh,hypre_boomeramg,fresh,lu,2,total_time_s,26.99541805266667,1.4814242113527807,hypre_boomeramg_fresh,0.0,0.0,1.0,0.0,3,1.0,,0.0
scaling,2,structured,temperature_dependent,32,,petsc_gamg_fresh,petsc_gamg,fresh,lu,2,total_time_s,27.343492955533335,0.3550334246262007,hypre_boomeramg_fresh,0.34807490286666654,1.80174619024875,1.0144112027648224,0.06711171352779899,3,1.0,,0.0
scaling,2,structured,temperature_dependent,32,,pyamg_fresh,pyamg,fresh,lu,2,total_time_s,27.3137361918,0.3919262431299299,hypre_boomeramg_fresh,0.31831813913333373,1.1986110473197769,1.0130433775775067,0.04432144278302446,3,1.0,,0.0
scaling,3,structured,temperature_dependent,4,,hypre_boomeramg_fresh,hypre_boomeramg,fresh,lu,2,total_time_s,1.2762840166666667,0.2886128367372487,hypre_boomeramg_fresh,0.0,0.0,1.0,0.0,3,1.0,,0.0
scaling,3,structured,temperature_dependent,4,,petsc_gamg_fresh,petsc_gamg,fresh,lu,2,total_time_s,1.2825637639333332,0.36042874446891493,hypre_boomeramg_fresh,0.006279747266666528,0.10963094737145872,1.0066649549777134,0.08523602687233355,3,1.0,,0.0
scaling,3,structured,temperature_dependent,4,,pyamg_fresh,pyamg,fresh,lu,2,total_time_s,1.3107044000666668,0.2813174724250416,hypre_boomeramg_fresh,0.034420383400000025,0.0820232904960948,1.0331141992836315,0.05928263657148203,3,1.0,,0.0
scaling,3,structured,temperature_dependent,6,,hypre_boomeramg_fresh,hypre_boomeramg,fresh,lu,2,total_time_s,7.366492466666667,0.4590566336208145,hypre_boomeramg_fresh,0.0,0.0,1.0,0.0,3,1.0,,0.0
scaling,3,structured,temperature_dependent,6,,petsc_gamg_fresh,petsc_gamg,fresh,lu,2,total_time_s,7.6084933194666675,1.12319342761315,hypre_boomeramg_fresh,0.2420008527999998,1.4807450586053639,1.0369249614982003,0.19625811906146637,3,1.0,,0.0
scaling,3,structured,temperature_dependent,6,,pyamg_fresh,pyamg,fresh,lu,2,total_time_s,7.5059206972000005,1.0618898654767626,hypre_boomeramg_fresh,0.13942823053333295,0.610462660203207,1.0195313689173149,0.07569352213001677,3,1.0,,0.0
scaling,3,structured,temperature_dependent,8,,hypre_boomeramg_fresh,hypre_boomeramg,fresh,lu,2,total_time_s,28.913899022200003,1.1703380161229318,hypre_boomeramg_fresh,0.0,0.0,1.0,0.0,3,1.0,,0.0
scaling,3,structured,temperature_dependent,8,,petsc_gamg_fresh,petsc_gamg,fresh,lu,2,total_time_s,29.483650911066665,4.480442283873376,hypre_boomeramg_fresh,0.5697518888666667,4.285214165038526,1.022320295830041,0.13966451563011345,3,1.0,,0.0
scaling,3,structured,temperature_dependent,8,,pyamg_fresh,pyamg,fresh,lu,2,total_time_s,28.17311211113333,0.8377023037135056,hypre_boomeramg_fresh,-0.7407869110666682,1.2450813356051467,0.9801771278778751,0.04664028501344162,3,1.0,,0.0
nonlinear,2,structured,temperature_dependent,8,20,direct,direct,direct,lu,2,wall_time_s,8.467250949999999,0.5898442843297986,direct,0.0,0.0,1.0,0.0,5,1.0,1.0,0.0
nonlinear,2,structured,temperature_dependent,8,20,hypre_boomeramg_fresh,hypre_boomeramg,fresh,lu,2,wall_time_s,10.2729811543,0.8457148277288499,direct,1.8057302042999992,0.3687276483980819,1.2140920845234464,0.03712742473974554,5,1.0,1.0,0.0
nonlinear,3,structured,temperature_dependent,4,20,direct,direct,direct,lu,2,wall_time_s,68.1759057125,4.806668216977329,direct,0.0,0.0,1.0,0.0,5,1.0,1.0,0.0
nonlinear,3,structured,temperature_dependent,4,20,hypre_boomeramg_fresh,hypre_boomeramg,fresh,lu,2,wall_time_s,75.99448255000001,8.441813806581134,direct,7.818576837499997,4.92414160924647,1.1131321426893104,0.06700082009149012,5,1.0,1.0,0.0
