dimension,mesh_mode,viscosity_mode,n,stokes_dofs,method,n_samples,setup_s_mean,setup_s_ci95_half,solve_s_mean,solve_s_ci95_half,total_s_mean,total_s_ci95_half,method_peak_rss_mib_mean,method_peak_rss_mib_ci95_half,method_peak_rss_delta_mib_mean,velocity_krylov_mean,max_residual_mean,max_error_vs_direct_mean,failure_rate,unavailable_rate,numerical_failure_rate
2,structured,temperature_dependent,16,867,hypre_boomeramg_fresh,15,0.011318476994832356,0.003590374549268105,2.126069120271834,0.6578545822696906,2.1373875972666667,0.6614447314335634,175.92916666666667,0.05168813742536906,3.273958333333333,138.33333333333334,7.226203807514848e-08,2.5611739936174663e-07,0.0,0.0,0.0
2,structured,temperature_dependent,16,867,petsc_gamg_fresh,15,0.011840248107910156,0.002694254250334268,2.13006135469209,0.4447711943801712,2.1419016028000004,0.4474389797079912,176.21041666666667,0.1513937283572343,3.125,340.0,1.7649936937760918e-07,2.0694743037674904e-07,0.0,0.0,0.0
2,structured,temperature_dependent,16,867,pyamg_fresh,15,0.03991502126057942,0.006180861691481338,2.1458700927394205,0.4728794960197688,2.185785114,0.47884583386287394,182.50729166666665,0.4455633493319153,5.795833333333334,215.0,8.717364035082323e-08,1.6509647581282355e-07,0.0,0.0,0.0
2,structured,temperature_dependent,32,3267,hypre_boomeramg_fresh,15,0.05282100041707357,0.0018815570335128998,26.942597052249596,1.4809496284321844,26.99541805266667,1.4814242113527807,202.56979166666667,0.4137964712061333,9.036458333333334,270.0,6.369345307130175e-08,3.1238353037009124e-07,0.0,0.0,0.0
2,structured,temperature_dependent,32,3267,petsc_gamg_fresh,15,0.049895254770914714,0.001076342425433637,27.29359770076242,0.3539995841565581,27.343492955533335,0.3550334246262007,201.88541666666666,0.3251484943155151,7.990624999999999,728.3333333333334,7.528124317746184e-08,1.949222194106749e-07,0.0,0.0,0.0
2,structured,temperature_dependent,32,3267,pyamg_fresh,15,0.1017487366994222,0.003177783940015853,27.21198745510058,0.39250678108374154,27.3137361918,0.3919262431299299,206.88958333333335,0.41350509940294544,9.81875,408.3333333333333,6.206962118927129e-08,2.771589229247274e-07,0.0,0.0,0.0
3,structured,temperature_dependent,4,500,hypre_boomeramg_fresh,15,0.015582529703776042,0.004028674582546069,1.2607014869628907,0.2845846782569914,1.2762840166666667,0.2886128367372487,173.01458333333332,4.878705793615055,2.8125,40.0,1.3631940988007564e-07,4.877703756518444e-07,0.0,0.0,0.0
3,structured,temperature_dependent,4,500,petsc_gamg_fresh,15,0.018969138463338215,0.006212418621052994,1.263594625469995,0.3542629771177709,1.2825637639333332,0.36042874446891493,174.61875,0.1635750925317485,2.7531250000000003,85.0,3.039723105835813e-07,7.346644375958808e-07,0.0,0.0,0.0
3,structured,temperature_dependent,4,500,pyamg_fresh,15,0.04125793774922689,0.010991391027085125,1.2694464623174397,0.2704940932583811,1.3107044000666668,0.2813174724250416,180.040625,0.2703684990254865,4.403125,60.0,1.6470061887501344e-07,4.779798350766765e-07,0.0,0.0,0.0
3,structured,temperature_dependent,6,1372,hypre_boomeramg_fresh,15,0.07600855827331543,0.003103112311387676,7.290483908393352,0.4561978705850889,7.366492466666667,0.4590566336208145,191.8166666666667,0.36677963306457784,8.321875,51.666666666666664,2.1024254038830863e-07,9.80761583812265e-07,0.0,0.0,0.0
3,structured,temperature_dependent,6,1372,petsc_gamg_fresh,15,0.07499245007832844,0.009574415619255624,7.533500869388338,1.1143338347984615,7.6084933194666675,1.12319342761315,191.49791666666667,0.6107770460429627,7.530208333333333,135.0,2.404425705017052e-07,9.352182086281055e-07,0.0,0.0,0.0
3,structured,temperature_dependent,6,1372,pyamg_fresh,15,0.09419916470845541,0.01185332652791355,7.411721532491545,1.0500490609045299,7.5059206972000005,1.0618898654767626,196.38229166666667,0.2942072084384527,9.323958333333334,103.33333333333333,1.980184987825114e-07,8.934138779131967e-07,0.0,0.0,0.0
3,structured,temperature_dependent,8,2916,hypre_boomeramg_fresh,15,0.3129701614379883,0.04176769374027879,28.600928860762014,1.1389993591855867,28.913899022200003,1.1703380161229318,236.20937500000002,4.2037611816656195,22.618750000000002,65.0,7.306561064077431e-08,2.894105683930708e-07,0.0,0.0,0.0
3,structured,temperature_dependent,8,2916,petsc_gamg_fresh,15,0.2710624535878499,0.045522641346374786,29.21258845747882,4.434940494887662,29.483650911066665,4.480442283873376,230.49166666666667,2.4110408632543865,19.23125,165.0,1.2826850850376928e-07,2.7863568550833023e-07,0.0,0.0,0.0
3,structured,temperature_dependent,8,2916,pyamg_fresh,15,0.27322851816813154,0.00807168316018259,27.8998835929652,0.838489556416528,28.17311211113333,0.8377023037135056,234.16458333333333,2.2399293982994988,16.826041666666665,135.0,3.837251937111505e-08,2.617146629235208e-07,0.0,0.0,0.0
