dimension,mesh_mode,viscosity_mode,n,stokes_dofs,method,n_samples,setup_s_mean,setup_s_ci95_half,solve_s_mean,solve_s_ci95_half,total_s_mean,total_s_ci95_half,method_peak_rss_mib_mean,method_peak_rss_mib_ci95_half,method_peak_rss_delta_mib_mean,velocity_krylov_mean,max_residual_mean,max_error_vs_direct_mean,failure_rate,unavailable_rate,numerical_failure_rate
2,structured,isoviscous,2,27,hypre_boomeramg_fresh,1,0.00034809112548828125,,0.020337825874511717,,0.020685916999999998,,168.984375,,0.734375,48.0,9.66134479419832e-10,1.5681954068181975e-09,0.0,0.0,0.0
2,structured,isoviscous,2,27,petsc_gamg_fresh,1,0.0007727146148681641,,0.02735328538513171,,0.028125999999999873,,169.671875,,0.75,96.0,2.5781094462165563e-09,1.2988458389443583e-09,0.0,0.0,0.0
2,structured,isoviscous,2,27,pyamg_fresh,1,0.008744955062866211,,0.02942716993713379,,0.038172125,,175.09375,,1.8125,48.0,5.158422733468148e-15,3.260427497552593e-14,0.0,0.0,0.0
2,structured,temperature_dependent,2,27,hypre_boomeramg_fresh,1,0.0003228187561035156,,0.021058306243896485,,0.021381125,,168.890625,,0.71875,60.0,3.773790448955533e-13,1.2585357298621953e-10,0.0,0.0,0.0
2,structured,temperature_dependent,2,27,petsc_gamg_fresh,1,0.0007119178771972656,,0.029828582122802816,,0.03054050000000008,,169.46875,,0.734375,120.0,3.4372784935180964e-12,1.2800664083945463e-10,0.0,0.0,0.0
2,structured,temperature_dependent,2,27,pyamg_fresh,1,0.004094123840332031,,0.03384175115966803,,0.03793587500000006,,174.953125,,1.6875,58.0,3.700780536305492e-13,1.2577117734859895e-10,0.0,0.0,0.0
2,structured,temperature_strain_rate,2,27,hypre_boomeramg_fresh,1,0.0003437995910644531,,0.021983408408935423,,0.022327207999999876,,168.875,,0.765625,54.0,9.661305880932676e-10,1.66992098986907e-09,0.0,0.0,0.0
2,structured,temperature_strain_rate,2,27,petsc_gamg_fresh,1,0.0007941722869873047,,0.031689868713012714,,0.03248404100000002,,169.40625,,0.734375,124.0,7.868851906164838e-10,5.162373292061261e-10,0.0,0.0,0.0
2,structured,temperature_strain_rate,2,27,pyamg_fresh,1,0.00404810905456543,,0.033968515945434596,,0.038016625000000026,,175.0625,,1.84375,54.0,4.678160993544336e-13,2.7869851999186354e-10,0.0,0.0,0.0
2,unstructured,isoviscous,2,36,hypre_boomeramg_fresh,1,0.00039505958557128906,,0.03475048141442871,,0.035145541,,169.21875,,0.796875,120.0,5.695336967427848e-09,2.5981835245939016e-09,0.0,0.0,0.0
2,unstructured,isoviscous,2,36,petsc_gamg_fresh,1,0.0007798671722412109,,0.053330382827758704,,0.054110249999999915,,169.71875,,0.71875,218.0,1.8158125297484447e-09,1.806706663655102e-09,0.0,0.0,0.0
2,unstructured,isoviscous,2,36,pyamg_fresh,1,0.00606989860534668,,0.07076626839465328,,0.07683616699999996,,175.328125,,1.796875,168.0,4.110635353862216e-10,3.9040067922547636e-10,0.0,0.0,0.0
2,unstructured,temperature_dependent,2,36,hypre_boomeramg_fresh,1,0.0004038810729980469,,0.032339327927002004,,0.03274320900000005,,169.359375,,0.71875,110.0,2.6835752740442067e-10,2.9744158057480724e-11,0.0,0.0,0.0
2,unstructured,temperature_dependent,2,36,petsc_gamg_fresh,1,0.0007562637329101562,,0.04813281926708979,,0.048889082999999944,,169.6875,,0.765625,216.0,1.3383422349634397e-09,2.9868721929625697e-10,0.0,0.0,0.0
2,unstructured,temperature_dependent,2,36,pyamg_fresh,1,0.005549907684326172,,0.06298805031567367,,0.06853795799999984,,175.234375,,1.796875,154.0,5.76600363937391e-10,2.49260087503448e-10,0.0,0.0,0.0
2,unstructured,temperature_strain_rate,2,36,hypre_boomeramg_fresh,1,0.0003638267517089844,,0.03628129824829096,,0.036645124999999945,,169.375,,0.796875,105.0,5.695333981287057e-09,2.456780809298193e-09,0.0,0.0,0.0
2,unstructured,temperature_strain_rate,2,36,petsc_gamg_fresh,1,0.0007560253143310547,,0.05253034968566894,,0.053286375,,169.875,,0.828125,194.0,1.931717849097824e-09,2.189841320216759e-09,0.0,0.0,0.0
2,unstructured,temperature_strain_rate,2,36,pyamg_fresh,1,0.005409955978393555,,0.06650321102160661,,0.07191316700000017,,175.34375,,1.6875,147.0,3.700841132092766e-09,4.1357399704663923e-10,0.0,0.0,0.0
3,structured,isoviscous,2,108,hypre_boomeramg_fresh,1,0.0005347728729248047,,0.07147326912707519,,0.072008042,,169.265625,,0.96875,54.0,5.556968565987912e-10,4.230400741314048e-09,0.0,0.0,0.0
3,structured,isoviscous,2,108,petsc_gamg_fresh,1,0.001065969467163086,,0.08516865553283703,,0.08623462500000012,,169.9375,,1.015625,144.0,6.916218331693862e-09,5.413653693252828e-09,0.0,0.0,0.0
3,structured,isoviscous,2,108,pyamg_fresh,1,0.0056400299072265625,,0.0868495540927734,,0.09248958399999996,,175.359375,,1.828125,72.0,1.8491124919667592e-09,3.9876171466964005e-09,0.0,0.0,0.0
