n,method,n_seeds,stokes_dofs,n_tetrahedra,setup_s_mean,setup_s_std,solve_s_mean,solve_s_std,total_s_mean,total_s_std,krylov_mean,python_peak_bytes_mean,max_residual_mean,max_error_vs_direct_mean,full_fallbacks_mean
4,direct,3,500,384,0.01530012533333173,0.00022054260208397556,0.00030690233333589373,2.706135473508477e-05,0.015613319333333209,0.0002478746866477059,0.0,250770.66666666666,1.0795421003482565e-15,0.0,0.0
4,meta_amg,3,500,384,1.1184106667836506,0.19018005127093646,0.8821090695496826,0.11018708125522367,2.000519736333333,0.291546723532787,165.0,1405328.0,4.763572520710934e-09,5.576564335926366e-09,0.0
4,traditional_amg,3,500,384,1.6477272510528564,0.17639012499507956,1.4902757072804766,0.14369526956307369,3.1380029583333333,0.3157787120464395,152.0,964346.3333333334,4.574112593279463e-09,5.576564335926366e-09,0.0
6,direct,3,1372,1296,0.12837134766666955,0.004646101655283012,0.001450014000001924,5.379615936246005e-05,0.12983027800000002,0.004700230918372878,0.0,843744.0,3.4361926993611965e-15,0.0,0.0
6,meta_amg,3,1372,1296,6.6479926109313965,0.9162648077010525,3.5821682920686064,0.6332181845644307,10.230160903000003,1.5356757673494128,241.0,4828941.333333333,3.5760366735371325e-09,1.624645315114058e-08,0.0
6,traditional_amg,3,1372,1296,11.27879516283671,0.3146816431267724,6.148177878829951,0.2161321486288257,17.42697304166666,0.5259097174033708,197.0,3108915.0,3.0410705624679105e-09,1.589658300679262e-08,0.0
8,direct,3,2916,3072,0.5996783750000058,0.0010250474378703162,0.004364819999996901,5.834547979243667e-05,0.6040513053333333,0.001056205553243079,0.0,1977408.0,6.168190566697964e-15,0.0,0.0
8,meta_amg,3,2916,3072,25.22964064280192,5.157024452688341,8.788408190864763,0.1975788626013357,34.01804883366668,5.299581780822492,259.6666666666667,11488431.666666666,2.501959531894794e-09,5.350411423497248e-09,0.0
8,traditional_amg,3,2916,3072,44.04026675224304,0.6237095093227338,17.933317025756963,0.10401961307596237,61.973583778000005,0.529716142915259,253.0,7223221.0,2.501959531894794e-09,4.4223217809821e-09,0.0
10,direct,1,5324,6000,2.3177471660000037,0.0,0.011986167000003434,0.0,2.329752333000002,0.0,0.0,3863048.0,1.0808570076814986e-14,0.0,0.0
10,meta_amg,1,5324,6000,53.6104097366333,0.0,20.787852472366723,0.0,74.39826220900002,0.0,353.0,22549236.0,1.6895093817497118e-09,5.888606707017586e-09,0.0
10,traditional_amg,1,5324,6000,133.61969590187073,0.0,50.002433182129266,0.0,183.622129084,0.0,297.0,14007927.0,1.1916607674314854e-09,5.512589025923873e-09,0.0
